generation,best_score,elite_mean_score,population_mean_score,parameter_std
0,0.6717493067987902,0.5827429208652817,0.30569332500296714,0.663108556669055
1,0.9034919432105264,0.7855265097255392,0.5388151929624568,0.6014030848223566
2,0.9031451652690262,0.7533992789984445,0.5187207458597842,0.47433684544891497
3,1.0207067568946566,0.8450496437729564,0.5461961561294456,0.3891037916755242
4,0.868114427425752,0.7381603438938023,0.5660873048187512,0.306434917560718
5,0.926191509383331,0.8089204373849874,0.5984790331125792,0.25294189391361777
6,1.015628610976733,0.9115138948738192,0.7298307517648244,0.19728157856647419
7,1.014577062423556,0.9681756079805653,0.8041037063467046,0.1496449154192616
8,1.0262312751336282,0.9976110472764397,0.8045640133680964,0.12215686741016747
9,1.018389766288461,0.9271456012741677,0.8378105625441763,0.09912738552200852
10,1.0332096095280228,1.0266486516094635,0.9079920819393146,0.09391217144457632
11,1.0309770065773114,1.0276745162689163,0.9751099353466147,0.09440099133026665
