task,controller,episodes,success_rate,aggregation_score_mean,aggregation_score_std,collision_rate_mean,collision_rate_std,convergence_time_s_mean,convergence_time_s_std,cooperative_push_fraction_mean,cooperative_push_fraction_std,coverage_fraction_mean,coverage_fraction_std,coverage_score_mean,coverage_score_std,coverage_time_s_mean,coverage_time_s_std,delivery_time_s_mean,delivery_time_s_std,largest_component_fraction_mean,largest_component_fraction_std,maximum_simultaneous_pushers_mean,maximum_simultaneous_pushers_std,mean_command_effort_mean,mean_command_effort_std,mean_distance_traveled_m_mean,mean_distance_traveled_m_std,mean_duration_s,mean_nearest_neighbor_distance_m_mean,mean_nearest_neighbor_distance_m_std,mean_push_alignment_mean,mean_push_alignment_std,object_goal_distance_m_mean,object_goal_distance_m_std,peak_coverage_fraction_mean,peak_coverage_fraction_std,polarization_mean,polarization_std,pusher_utilization_mean,pusher_utilization_std,swarm_radius_m_mean,swarm_radius_m_std,transport_progress_mean,transport_progress_std,transport_score_mean,transport_score_std
aggregation,learned,20.0,0.8,0.7299261802681871,0.11127152891550317,0.0005145080025679143,0.0011296479771376092,22.0400000000001,13.939705879250242,,,,,,,,,,,0.95,0.1247219128924647,,,0.712131846912633,0.018805572975019166,4.974532227516645,2.8359836393730653,23.56000000000011,,,,,,,,,0.8340969728379999,0.14244601036460547,,,0.8284725090443137,0.30278827985740503,,,,
aggregation,random,20.0,0.0,0.2927521332992615,0.08551275413448811,0.07330555555555555,0.019040177990632123,45.00000000000036,7.105427357601002e-15,,,,,,,,,,,0.38333333333333336,0.13017082793177756,,,0.657348833234812,0.007125048873312203,8.53784202157839,0.13046693729295952,45.00000000000036,,,,,,,,,0.27797942880615206,0.14553532830918767,,,1.470833722458652,0.17193706929843375,,,,
aggregation,rules,20.0,1.0,0.8158171547780952,0.007776717080172825,0.0,0.0,12.220000000000002,7.3701153315263905,,,,,,,,,,,1.0,0.0,,,0.6486987577339811,0.019696197068411022,2.8907406944192524,1.6486943653554378,14.120000000000008,,,,,,,,,0.7148238539546586,0.2547997768575337,,,0.5312132690136633,0.03126287913975654,,,,
aggregation,stationary,20.0,0.0,0.33485812907808726,0.12113185852005592,0.0,0.0,45.00000000000036,7.105427357601002e-15,,,,,,,,,,,0.4291666666666667,0.18309643785599858,,,0.0,0.0,0.0,0.0,45.00000000000036,,,,,,,,,0.24825792648368156,0.12654429624022967,,,1.4284785789647825,0.16308231863048353,,,,
coverage,random,20.0,0.0,,,0.14805208333333333,0.021583501748860298,,,,,0.44050925925925927,0.04198119455374182,0.4108988425925926,0.041689651152202044,60.00000000000059,7.105427357601002e-15,,,,,,,0.6652368506889352,0.00572046710730528,11.380068759002423,0.11214061387757994,60.00000000000059,0.5427695026421386,0.07162231149208843,,,,,0.5099537037037035,0.0250716993103781,,,,,,,,,,
coverage,rules,20.0,1.0,,,0.009649644597856364,0.006672810284589343,,,,,0.6164351851851851,0.008817591182750417,0.6145052562656139,0.008957353973596508,11.904999999999983,4.628982069526732,,,,,,,0.6890807030917069,0.013626212458407986,2.724684466297635,0.854580318204041,13.304999999999987,0.9392328956700302,0.02856444887227627,,,,,0.6351851851851853,0.008098544298396237,,,,,,,,,,
coverage,stationary,20.0,0.0,,,0.0,0.0,,,,,0.16458333333333333,0.0053741605399277295,0.16458333333333333,0.0053741605399277295,60.00000000000059,7.105427357601002e-15,,,,,,,0.0,0.0,0.0,0.0,60.00000000000059,0.27009798543017316,0.012654892251887791,,,,,0.16458333333333333,0.0053741605399277295,,,,,,,,,,
transport,random,20.0,0.0,,,0.1288690476190476,0.030779358438662942,,,0.00028571428571428574,0.0008571428571428572,,,,,,,35.00000000000023,0.0,,,2.6,0.7999999999999999,0.6648098863586711,0.008855167931953655,7.241959098408676,0.1378120980686819,35.00000000000023,,,0.480209279702364,0.09742205318338015,2.9988872446063417,0.0033383325121528642,,,,,0.04039285714285714,0.020676247916175613,,,0.0003709184645526942,0.0011127775040509658,-0.01251598629735207,0.003724908378341385
transport,rules,20.0,1.0,,,0.1303831738083296,0.03134894156728786,,,0.8686772838324938,0.029821243616640142,,,,,,,13.769999999999968,0.8672369918309497,,,5.05,0.49749371855331004,0.8279652067615068,0.014118707148679679,3.9257386801665306,0.13941087971547317,13.769999999999968,,,0.9774792938682715,0.008000048448488832,0.33834409027755663,0.005730522212836173,,,,,0.27630721625207944,0.014786051438322458,,,0.8872186365741477,0.0019101740709453817,0.8741803191933147,0.003728485217814252
transport,stationary,20.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,35.00000000000023,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.00000000000023,,,0.0,0.0,3.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0
