task,controller,seed,robot_count,steps,duration_s,success,collision_rate,cooperative_push_fraction,delivery_time_s,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_push_alignment,object_goal_distance_m,pusher_utilization,transport_progress,transport_score
transport,rules,1000,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6180974909749842,5.613648546805915,0.2713661197548208,3.0,0.44857142857142857,0.0,0.0
transport,rules,1001,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6313686172065899,5.905219439974208,0.3254757281679074,3.0,0.39714285714285713,0.0,0.0
transport,rules,1002,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.633842198423904,5.9378388267194,0.35562165370372606,3.0,0.44,0.0,0.0
transport,rules,1003,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6290908640584079,5.851066704916934,0.3518953801269842,3.0,0.39714285714285713,0.0,0.0
transport,rules,1004,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6413518138844333,6.113408239642885,0.33453856422976685,3.0,0.4057142857142857,0.0,0.0
transport,rules,1005,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6459000471019448,6.206416484938092,0.3376694872420663,3.0,0.4257142857142857,0.0,0.0
transport,rules,1006,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6250381463831148,5.7619445664950755,0.3448148153472933,3.0,0.3914285714285714,0.0,0.0
transport,rules,1007,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.638253841339924,6.043917470989941,0.37902335967340045,3.0,0.38571428571428573,0.0,0.0
transport,rules,1008,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6351713687492219,5.981223093203845,0.3315133118371932,3.0,0.4085714285714286,0.0,0.0
transport,rules,1009,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.64345648710083,6.1448971879423,0.36711542817785603,3.0,0.43714285714285717,0.0,0.0
transport,rules,1010,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.666130406929192,6.601301907673298,0.42511887518251523,3.0,0.4828571428571429,0.0,0.0
transport,rules,1011,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6427043180672143,6.1149859953937815,0.4279339770499217,3.0,0.42,0.0,0.0
transport,rules,1012,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6253363608403433,5.7766665096555005,0.3196938641520924,3.0,0.4057142857142857,0.0,0.0
transport,rules,1013,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6216924856646475,5.704278341455781,0.28368705126906046,3.0,0.41714285714285715,0.0,0.0
transport,rules,1014,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6204180696558257,5.6636886413172585,0.32148338955734146,3.0,0.4114285714285714,0.0,0.0
transport,rules,1015,1,350,35.00000000000023,0,0.0,0.0,35.00000000000023,1.0,0.6300698624523867,5.861054109010482,0.30377869534486,3.0,0.45714285714285713,0.0,0.0
